rt_score,Genre_1,Genre_2,Genre_3,imdb_rating,length,rating,studio,title,year
5.6,Fantasy,Family,Adventure,6.8,104,PG,TriStar Pictures,Jumanji,1995
6,Drama,Animation,Adventure,6.6,81,G,Walt Disney Pictures,Pocahontas,1995
7.6,Mystery,Drama,Thriller,8.7,127,R,New Line Cinema,Seven,1995
9,Comedy,Animation,Adventure,8.3,81,G,Walt Disney Pictures / Pixar,Toy Story,1995
5.2,Sci-Fi,Adventure,Action,6.1,135,PG-13,Universal Pictures,Waterworld,1995
6.9,Drama,Crime,Action,6.9,141,PG-13,Paramount Pictures,Clear and Present Danger,1994
5.9,Comedy,,,7.3,107,PG-13,New Line Cinema,Dumb and Dumber,1994
7.2,Romance,Drama,,8.8,142,PG-13,Paramount Pictures,Forrest Gump,1994
7.6,Romance,Drama,Comedy,7.1,117,R,Gramercy Pictures / PolyGram,Four Weddings and a Funeral,1994
5.9,Romance,Horror,,7.6,123,R,Warner Bros. / Geffen Pictures,Interview with the Vampire: The Vampire Chronicles,1994
7.9,Thriller,Crime,Action,7.2,116,R,20th Century Fox,Speed,1994
3.7,Fantasy,Family,Comedy,4.8,91,PG,Universal Pictures / Amblin Entertainment,The Flintstones,1994
8.2,Drama,Animation,Adventure,8.5,89,G,Walt Disney Pictures,The Lion King,1994
6.4,Fantasy,Crime,Comedy,6.8,101,PG-13,New Line Cinema,The Mask,1994
6.6,Thriller,Comedy,Action,7.2,141,R,20th Century Fox,True Lies,1994
6.2,Thriller,Adventure,Action,6.3,112,R,TriStar Pictures / Carolco Pictures,Cliffhanger,1993
4.6,Romance,Drama,,5.8,117,R,Paramount Pictures,Indecent Proposal,1993
8.3,Thriller,Sci-Fi,Adventure,8,127,PG-13,Universal Pictures / Amblin Entertainment,Jurassic Park,1993
5.8,Family,Drama,Comedy,6.9,125,PG-13,20th Century Fox,Mrs. Doubtfire,1993
6.6,Drama,,,7.7,125,PG-13,TriStar Pictures,Philadelphia,1993
9,History,Drama,Biography,8.9,195,R,Universal Pictures / Amblin Entertainment,Schindler's List,1993
6.5,Romance,Drama,Comedy,6.8,105,PG,TriStar Pictures,Sleepless in Seattle,1993
6.2,Thriller,Mystery,Drama,6.8,154,R,Paramount Pictures,The Firm,1993
7.9,Crime,Adventure,Action,7.8,130,PG-13,Warner Bros.,The Fugitive,1993
5.5,Drama,Crime,Action,6.5,141,PG-13,Warner Bros.,The Pelican Brief,1993
7,Thriller,Drama,,7.6,138,R,Columbia Pictures / Castle Rock Entertainment,A Few Good Men,1992
8.1,Comedy,Animation,Adventure,8,90,G,Walt Disney Pictures,Aladdin,1992
5.9,Thriller,Mystery,Drama,6.9,127,R,TriStar Pictures / Carolco Pictures,Basic Instinct,1992
6.7,Action,,,7,126,PG-13,Warner Bros. / PolyGram,Batman Returns,1992
6.5,Romance,Horror,,7.5,128,R,Columbia Pictures,Bram Stoker's Dracula,1992
3.6,Family,Comedy,Adventure,6.5,120,PG,20th Century Fox,Home Alone 2: Lost in New York,1992
5.5,Thriller,Crime,Action,6.7,118,R,Warner Bros.,Lethal Weapon 3,1992
5.7,Music,Comedy,,6.2,100,PG,Touchstone Pictures,Sister Act,1992
4.8,Music,Drama,Action,6.1,129,R,Warner Bros.,The Bodyguard,1992
6.8,Music,Comedy,,7,94,PG-13,Paramount Pictures,Wayne's World,1992
8.4,Fantasy,Family,Animation,8,84,G,Walt Disney Pictures,Beauty and the Beast,1991
7.1,Thriller,Crime,,7.3,128,R,Universal Pictures,Cape Fear,1991
7,Western,Comedy,,6.7,113,PG-13,Columbia Pictures / Castle Rock Entertainment / Nelson Entertainment,City Slickers,1991
4.4,Family,Comedy,Adventure,6.7,142,PG,TriStar Pictures / Amblin Entertainment,Hook,1991
6.5,Comedy,,,6.7,84,PG-13,20th Century Fox,Hot Shots!,1991
7.7,Thriller,History,Drama,8,189,R,Warner Bros.,JFK,1991
5.7,Drama,Adventure,Action,6.9,143,PG-13,Warner Bros.,Robin Hood: Prince of Thieves,1991
8.3,Sci-Fi,Action,,8.5,137,R,TriStar Pictures / Carolco Pictures / Lightstorm Entertainment,Terminator 2: Judgment Day,1991
5.6,Fantasy,Comedy,,6.8,99,PG-13,Paramount Pictures / Orion Pictures,The Addams Family,1991
8.5,Thriller,,,8.6,118,R,Orion Pictures,The Silence of the Lambs,1991
6.5,Romance,Comedy,Adventure,7.4,118,PG,Universal Pictures,Back to the Future Part III,1990
7.5,Western,Drama,Adventure,8,181,PG-13,Orion Pictures,Dances with Wolves,1990
6.1,Thriller,Action,,7.1,124,R,20th Century Fox / Silver Pictures,Die Hard 2,1990
6.8,Romance,Fantasy,Drama,7,127,PG-13,Paramount Pictures,Ghost,1990
5.1,Family,Comedy,,7.4,103,PG,20th Century Fox,Home Alone,1990
5.1,Crime,Comedy,Action,6,111,PG-13,Universal Pictures,Kindergarten Cop,1990
7.4,Mystery,Drama,Crime,6.9,127,R,Warner Bros.,Presumed Innocent,1990
5.7,Romance,Comedy,,6.9,119,R,Touchstone Pictures,Pretty Woman,1990
4.8,Comedy,Adventure,Action,6.7,93,PG,New Line Cinema,Teenage Mutant Ninja Turtles,1990
7.3,Action,Sci-Fi,Mystery,7.5,113,R,TriStar Pictures / Carolco Pictures,Total Recall,1990
6.1,Sci-Fi,Comedy,Adventure,7.8,108,PG,Universal Pictures,Back to the Future Part II,1989
6.6,Adventure,Action,,7.6,126,PG-13,Warner Bros. / PolyGram,Batman,1989
7.4,War,Drama,Biography,7.2,145,R,Universal Pictures,Born on the Fourth of July,1989
7.2,Drama,,,8,128,PG,Touchstone Pictures,Dead Poets Society,1989
5.2,Horror,Fantasy,Comedy,6.5,108,PG,Columbia Pictures,Ghostbusters II,1989
6.2,Family,Comedy,Adventure,6.2,93,PG,Walt Disney Pictures,"Honey, I Shrunk the Kids",1989
7.9,Adventure,Action,,8.3,127,PG-13,Paramount Pictures / Lucasfilm,Indiana Jones and the Last Crusade,1989
6.6,Thriller,Crime,Action,7.2,114,R,Warner Bros.,Lethal Weapon 2,1989
5,Romance,Comedy,,5.8,93,PG-13,TriStar Pictures,Look Who's Talking,1989
8.1,Fantasy,Family,Animation,7.6,83,G,Walt Disney Pictures,The Little Mermaid,1989
3.5,Comedy,Adventure,Action,5.5,108,PG,Paramount Pictures,"""Crocodile"" Dundee II",1988
7,Comedy,,,7.4,92,PG,Warner Bros. / Geffen Pictures,Beetlejuice,1988
7.9,Fantasy,Drama,Comedy,7.3,104,PG,20th Century Fox / Gracie Films,Big,1988
3.8,Romance,Drama,Comedy,5.8,104,R,Touchstone Pictures,Cocktail,1988
5.8,Romance,Comedy,,6.9,116,R,Paramount Pictures,Coming to America,1988
8.4,Thriller,Action,,8.3,131,R,20th Century Fox / Silver Pictures,Die Hard,1988
7.9,Drama,,,8,133,R,United Artists,Rain Man,1988
7.3,Crime,Comedy,,7.6,85,PG-13,Paramount Pictures,The Naked Gun: From the Files of Police Squad!,1988
4.8,Comedy,,,5.9,107,PG,Universal Pictures,Twins,1988
8.4,Crime,Comedy,Animation,7.7,104,PG,Touchstone Pictures / Amblin Entertainment,Who Framed Roger Rabbit,1988
4.9,Crime,Comedy,Action,6.4,100,R,Paramount,Beverly Hills Cop II,1987
6.7,Thriller,Drama,,6.9,119,R,Paramount Pictures,Fatal Attraction,1987
7.4,War,Drama,Comedy,7.3,121,R,Touchstone,"Good Morning, Vietnam",1987
